,Product_Name,Brand,Capacity,Original_Price,Discount_Price,Discount_Percentage,specification,Rating,totalNumberofRatingGivens
0,Milton Thermosteel Flip Lid 1000 ML Flask (24hrs Hot & ...,Milton,1000 ML,NaN,NaN,NaN,"Pack of 1, Silver, Steel",4.4,"(11,267)"
1,Milton Thermosteel duo dlx 1000 1000 ml Bottle,Milton,1000 ml,"₹1,200",₹989,17% off,"Pack of 1, Steel/Chrome, Steel",4.5,"(4,182)"
2,Cello VENICE FRIDGE WATER BOTTLES 1000 ml Bottle,Cello,1000 ml,₹599,₹425,29% off,"Pack of 5, Multicolor, Plastic",4.5,"(48,093)"
3,AKG Stainless Steel Fridge Water Bottle/Refrigerator Bo...,AKG,NaN,₹999,₹599,40% off,"Pack of 3, Silver, Steel",3.9,(169)
4,Pigeon Bling 750 ml Bottle,Pigeon,750 ml,₹399,₹249,37% off,"Pack of 1, Steel/Chrome, Steel",4.1,"(24,934)"
5,Milton Thermosteel Flip lid 1000 ml Bottle,Milton,1000 ml,₹995,₹846,14% off,"Pack of 1, Silver, Steel",4.3,(793)
6,Greenchef Kiyo Thermosteel stainless steel 1000 ml Bott...,Greenchef,1000 ml,"₹1,059",₹699,33% off,"Pack of 1, Silver, Steel",4.3,"(2,624)"
7,STARRY Jointless Mirror Shine Stainless Steel Water Bot...,STARRY,NaN,₹549,₹299,45% off,"Pack of 1, Silver, Steel",NaN,NaN
8,ATMAN 3PCS WATER BOTTLE 1000 ml Water Bottles,ATMAN,1000 ml,₹499,₹139,72% off,"Set of 3, Multicolor",4.4,(159)
9,AKR Double Wall Vacuum Insulated Stainless Steel Flask ...,AKR,NaN,"₹1,299",₹449,65% off,Blue,4.2,(842)
10,Tuelip Stainless Steel Bottle for School Kids Girls & B...,Tuelip,NaN,₹599,₹259,56% off,"Set of 1, Blue",3.9,(128)
11,STARRY WaterBottle81 1000 ml Bottle,STARRY,1000 ml,₹499,₹239,52% off,"Pack of 1, Silver, Steel",NaN,NaN
12,Tuelip Stainless Steel Water Bottle For School Going Ki...,Tuelip,NaN,₹699,₹299,57% off,Blue,4.2,(539)
13,Fitkit Classic Bottle 700 ml Shaker,Fitkit,700 ml,₹449,₹148,67% off,"Pack of 1, Brown, Plastic",4.3,"(22,173)"
14,Jaypee Plus Max Gym bottle 700 ml Shaker,Jaypee,700 ml,₹699,₹183,73% off,"Pack of 1, Black, Plastic",4.2,"(76,601)"
15,STARRY Stainless Steel Fridge/Sports /Refrigerator Wate...,STARRY,NaN,₹595,₹239,59% off,"Pack of 1, Silver, Steel",NaN,NaN
16,Spider Smart Protein Shaker Bottle for gym with 2 Stora...,Spider,NaN,₹290,₹194,33% off,"Pack of 1, Red, Plastic",4.2,"(15,864)"
17,Fortune Kachi Ghani Mustard Oil Plastic Bottle,Fortune,NaN,₹96,₹74,22% off,500 ml,4.4,"(3,765)"
18,Deva Group Of Industries Design Joient Leak Proof Pure ...,Deva,NaN,"₹4,126","₹1,085",73% off,"Pack of 3, Brown, Copper",4.1,(144)
19,STARRY Stainless Steel Fridge water bottle 1000 ml (Pac...,STARRY,1000 ml,"₹1,190",₹429,63% off,"Pack of 2, Silver, Steel",NaN,NaN
20,MASTERCOOL Curve 900 ml Bottle,MASTERCOOL,900 ml,₹199,₹119,40% off,"Pack of 1, Blue, PET",4.1,"(78,210)"
